timestamp,ear,mar,alert_eye,alert_yawn,phone_near,mouth_open,fps
1763926389.5722284,0.2038,0.0422,0,0,0,0,25.69
1763926389.614759,0.1816,0.0573,0,0,0,0,25.74
1763926389.656562,0.1620,0.0429,0,0,0,0,25.71
1763926389.6968393,0.1572,0.0579,0,0,0,0,25.78
1763926389.736075,0.1598,0.0605,0,0,0,0,25.95
1763926389.7745898,0.1699,0.0435,0,0,0,0,26.10
1763926389.8128278,0.1886,0.0793,0,0,0,0,26.24
1763926389.855693,0.2103,0.0579,0,0,0,0,26.24
1763926389.9160705,0.2348,0.0654,0,0,0,0,25.89
1763926389.9662056,0.2615,0.0321,0,0,0,0,25.88
1763926390.014642,0.2783,0.0505,0,0,0,0,25.74
1763926390.0566208,0.2905,0.0514,0,0,0,0,25.74
1763926390.1011899,0.2991,0.0514,0,0,0,0,25.73
1763926390.149187,0.3039,0.0506,0,0,0,0,25.64
1763926390.1897233,0.3027,0.0650,0,0,0,0,25.72
1763926390.2334468,0.3068,0.0336,0,0,0,0,25.73
1763926390.2709968,0.3092,0.0342,0,0,0,0,25.82
1763926390.3124137,0.3054,0.0685,0,0,0,0,25.81
1763926390.3512821,0.3071,0.0732,0,0,0,0,25.89
1763926390.3884594,0.3102,0.0530,0,0,0,0,26.14
1763926390.4314926,0.3118,0.0325,0,0,0,0,26.09
1763926390.4717026,0.3079,0.0342,0,0,0,0,26.07
1763926390.516238,0.3043,0.0335,0,0,0,0,25.93
1763926390.5567775,0.3046,0.0335,0,0,0,0,25.89
1763926390.601915,0.3033,0.1057,0,0,0,0,25.78
1763926390.6457305,0.3032,0.0672,0,0,0,0,25.83
1763926390.6915197,0.3027,0.0670,0,0,0,0,25.79
1763926390.7364383,0.3076,0.0496,0,0,0,0,25.81
1763926390.7784452,0.3064,0.0856,0,0,0,0,25.80
1763926390.8186696,0.3050,0.0672,0,0,0,0,25.83
1763926390.8590553,0.3007,0.0539,0,0,0,0,25.83
1763926390.8996315,0.2949,0.0363,0,0,0,0,25.84
1763926390.9376132,0.2938,0.0512,0,0,0,0,25.94
1763926390.9770088,0.2937,0.0521,0,0,0,0,25.97
1763926391.014506,0.2913,0.0844,0,0,0,0,26.01
1763926391.0622752,0.2912,0.0672,0,0,0,0,25.79
1763926391.1008053,0.2968,0.0872,0,0,0,0,25.75
1763926391.1430418,0.2979,0.0704,0,0,0,0,25.77
1763926391.1850035,0.2898,0.1003,0,0,0,0,26.18
1763926391.2310011,0.2962,0.0685,0,0,0,0,26.25
1763926391.2700675,0.2938,0.0523,0,0,0,0,26.49
1763926391.3137865,0.2969,0.1039,0,0,0,0,26.43
1763926391.3509114,0.2967,0.0718,0,0,0,0,26.54
1763926391.3933587,0.3043,0.0160,0,0,0,0,26.67
1763926391.4323173,0.2948,0.0471,0,0,0,0,26.71
1763926391.4726205,0.2967,0.0514,0,0,0,0,26.73
1763926391.5111248,0.2897,0.0672,0,0,0,0,26.75
1763926391.5499346,0.2873,0.0487,0,0,0,0,26.83
1763926391.5904572,0.2826,0.0842,0,0,0,0,26.77
1763926391.6370797,0.2861,0.0683,0,0,0,0,26.61
1763926391.6802742,0.2847,0.0640,0,0,0,0,26.61
1763926391.721275,0.2896,0.0692,0,0,0,0,26.58
1763926391.76231,0.2960,0.0541,0,0,0,0,26.68
1763926391.8136058,0.2802,0.0640,0,0,0,0,26.74
1763926391.8529363,0.2677,0.0364,0,0,0,0,26.85
1763926391.8957856,0.2549,0.0472,0,0,0,0,26.88
1763926391.9329586,0.2461,0.0975,0,0,0,0,27.06
1763926391.9718308,0.2339,0.0650,0,0,0,0,27.19
1763926392.0105574,0.2429,0.0819,0,0,0,0,27.29
1763926392.0507166,0.2432,0.0804,0,0,0,0,27.26
1763926392.0873861,0.2486,0.0632,0,0,0,0,27.31
1763926392.1269295,0.2411,0.0509,0,0,0,0,27.36
1763926392.1633208,0.2345,0.0633,0,0,0,0,27.36
1763926392.2051015,0.2210,0.0644,0,0,0,0,27.30
1763926392.247109,0.2062,0.0469,0,0,0,0,27.19
1763926392.2897031,0.1973,0.0923,0,0,0,0,27.30
1763926392.3369217,0.2029,0.0615,0,0,0,0,27.12
1763926392.3843575,0.2086,0.0923,0,0,0,0,27.01
1763926392.4304872,0.2183,0.0476,0,0,0,0,26.87
1763926392.4714882,0.2378,0.0781,0,0,0,0,26.99
1763926392.5165699,0.2480,0.0606,0,0,0,0,26.89
1763926392.5564377,0.2459,0.0625,0,0,0,0,26.98
1763926392.5994155,0.2491,0.0454,0,0,0,0,26.90
